route_id,agency_id,route_short_name,route_long_name,route_type
5001,UT1,384,Vilar do Senhor - Sete Bicas (Metro),3
5002,UT1,393,Leça (Zona Comercial) - Polo Universitário (via Custóias),3
5003,UT1,397,MAR Shopping - Estádio do Dragão,3
5004,UT1,391,Paiço - Sete Bicas (Metro),3
5005,UT1,395,Circular | Matosinhos (Câmara) (via Guifões),3
5006,UT1,479,Circular | Matosinhos (Câmara) (via Guifões),3
5007,UT1,386,Circular | Hospital Pedro Hispano (via Mercado),3
5008,UT1,480,Circular | Hospital Pedro Hispano (via Mercado),3
5009,UT1,390,Pampelido - Hospital Pedro Hispano (via MAR Shopping),3
5010,UT1,389,Ermesinde / Maia Shopping - Matosinhos (Mercado),3
5011,UT1,394,Valongo (Estação) - Matosinhos (Mercado),3
5012,UT1,392,Freixieiro - Senhora da Hora (Metro),3
5013,UT1,388,Aeroporto (Botica Metro) - Guifões,3
5014,UT1,387,Perafita - Gatões,3
5015,UT1,396,Custió - Matosinhos (Mercado) (via Padrão da Légua),3
5016,UT1,398,Paiço - Matosinhos (Câmara),3
5017,UT1,385,Leça (Marginal) - Estádio do Dragão,3
5018,UT1,400,Angeiras - Senhora da Hora (Metro) (via MAR Shopping),3
5019,UT1,401,Vilar do Pinheiro (Metro) - Lavra (via Angeiras),3
5020,UT1,402,Aeroporto - Agudela,3
5021,UT1,403,Aeroporto (Botica Metro) - Sete Bicas (Metro) (via Senhora da Hora),3
5022,UT1,404,Paiço - Aeroporto,3
5023,UT1,571,Matosinhos Câmara - Maia (Fórum),3
5024,UT1,490,Lionesa - Boavista (Casa da Música),3
5101,UT1,405,Noturna | Cabanelas - Sete Bicas (Metro),3
5102,UT1,406,Noturna | Aeroporto (Botica Metro) - Padrão da Légua,3
5103,UT1,407,Noturna | MAR Shopping - Polo Universitário,3
5104,UT1,399,Noturna | Valongo (Estação) - Matosinhos (Mercado) (via Ermesinde),3
6001,UT1,247,Frejufe - Maia (Centro) (via Catassol),3
6003,UT1,257,Circular | Maia (Fórum) (via Aeroporto e Zona Industrial),3
6004,UT1,481,Circular | Maia (Fórum) (via Aeroporto e Zona Industrial),3
6005,UT1,260,Maia (Espido) - Hospital São João,3
6006,UT1,244,Nogueira - Maia (Centro) (via Milheirós),3
6007,UT1,255,S. Pedro de Avioso - Ermesinde (Estação),3
6008,UT1,249,S. Romão (Escola) - Aeroporto (via Maia Shopping),3
6009,UT1,258,Vila Nova da Telha - Maia (Centro),3
6010,UT1,254,Alto de Rindo - Maia (Centro) (via Castêlo da Maia),3
6011,UT1,261,Vilar da Luz - Hospital São João,3
6012,UT1,252,Areosa - TECMAIA,3
6013,UT1,245,Alfena (Escola) - Maia (Centro),3
6014,UT1,259,Vilar da Luz (Aeródromo) - Maia (Espido),3
6015,UT1,527,Folgosa (Igreja) - Nogueira (Escola) (via Ardegães),3
6016,UT1,528,Vilar de Luz - Castêlo da Maia,3
6017,UT1,563,Maia (Centro) - Ermesinde (Estação),3
6301,UT1,286,Paradela - Souto da Sapateira (via Cidoi),3
6302,UT1,285,Alvarelhos (Escola) - Souto da Sapateira (via Gueidãos),3
6303,UT1,281,Paradela - Souto da Sapateira (via Guidões),3
6304,UT1,290,Trofa (Interface) - Fornelos (via Lantemil),3
6305,UT1,287,Trofa (Interface) - Polo Universitário (via EN14),3
6306,UT1,289,Santo Tirso (ERF) - Maia (ISMAI),3
6307,UT1,291,Santo Tirso (ERF) - Alvarelhos (via Bicho),3
6308,UT1,284,Trofa (Interface) - Trinaterra,3
6310,UT1,280,Trofa (Interface) - S. Romão (Escola) (via EN14),3
6311,UT1,283,Circular | Trofa (Centro),3
6312,UT1,482,Circular | Trofa (Centro),3
6313,UT1,282,Famalicão (CCT) - Polo Universitário (via EN14),3
6314,UT1,418,Cêpa - Lantemil,3
6315,UT1,419,Santo Tirso (ER) - Guidães (Zona Industrial),3
6316,UT1,469,Trofa (Interface) - Polo Universitário (pela A3),3
6601,UT2,296,Santo Tirso (ERF) - Polo Universitário (pela A3),3
6602,UT2,303,Santo Tirso (ER) - Paços de Ferreira (Centro),3
6603,UT2,559,Santo Tirso (ERF) - Polo Universitário (pela N105),3
6604,UT2,297,Santo Tirso (ERF) - Agrela (via Reguenga),3
6605,UT2,298,Santo Tirso (ERF) - Água Longa (via Refojos),3
6606,UT2,307,Guimarei - Agrela (Escola),3
6607,UT2,295,Freamunde (Centro) - INA,3
6608,UT2,301,Santo Tirso (ERF) - Guimarei (via Lamelas),3
6609,UT2,306,Santo Tirso (ER) - Raimonda,3
6610,UT2,304,Vila das Aves (ERF) - Raimonda (via Lordelo Guimarães),3
6611,UT2,458,Vale Pisão - Agrela (Escola),3
6612,UT2,294,S. Martinho - Lousada (Esc. Lustosa),3
6613,UT2,293,Lousada (Centro) - Polo Universitário (pela A3),3
6614,UT2,292,Água Longa - ARTAVE,3
7001,UT2,315,Valongo (Centro) - Maia (Zona Industrial),3
7002,UT2,316,Alfena (Ogueiros) - Valongo (Biblioteca),3
7003,UT2,314,Codiceira - Quinta da Lousa,3
7004,UT2,312,Sobrado (Ponte Açude) - Polo Universitário (via Formiga / Santa Rita),3
7005,UT2,318,Penafiel (Milhundos) - Susão (Estação),3
7006,UT2,311,Sobrado de Cima - Valongo (Biblioteca) (via Estádio do Sobrado),3
7007,UT2,320,Penafiel (Centro) - Polo Universitário (pela A4 Valongo),3
7008,UT2,309,Lordelo (Igreja) - Polo Universitário (pela A4),3
7009,UT2,313,Gandra (CESPU) - Estádio do Dragão,3
7010,UT2,310,Gandra (CESPU) - Valongo (João de Castro) (via Retorta),3
7011,UT2,319,Campo (Padre Américo) - Ermesinde (Estação),3
7012,UT2,427,Circular | Ermesinde (Estação),3
7013,UT2,483,Circular | Ermesinde (Estação),3
7014,UT2,581,Sobrado de Cima - Ermesinde (Estação) (via Valongo),3
7015,UT2,582,Campo (Retorta) - Susão (Estação),3
7301,UT2,343,Modelos - Paredes (Centro),3
7302,UT2,337,Paredes (Centro) - Gandra (CESPU) (via Vilela),3
7303,UT2,325,Baltar (Centro Escolar) - Gandra (CESPU) (via Cristelo),3
7304,UT2,340,Paredes (Centro) - Baltar (Centro Escolar) (via Cristelo),3
7305,UT2,342,Modelos - Polo Universitário (via Lordelo),3
7306,UT2,324,Paredes (Centro) - Lordelo (Parteira),3
7307,UT2,333,Cristelo (Escola) - Gandra (CESPU),3
7308,UT2,349,Paços de Ferreira (Centro) - Paredes (Centro) (via Lordelo),3
7309,UT2,335,Paços de Ferreira (Centro) - Susão (Estação) (via Seroa e Lordelo),3
7310,UT2,334,Paços de Ferreira (Centro) - Paredes (Centro) (via Sobrosa),3
7311,UT2,329,Paços de Ferreira (Escola) - Paredes (Centro) (via Duas Igrejas),3
7312,UT2,328,Paços de Ferreira (Escola) - Paredes (Centro) (via Freamunde),3
7313,UT2,352,Paços de Ferreira (Escola) - Paredes (Centro) (via Beire),3
7314,UT2,345,Lousada (Nevogilde) - Paredes (Centro) (via Gondalães),3
7315,UT2,327,Paredes (Escolas) - Melres (via Hosp. Tâmega e Sousa),3
7316,UT2,346,Sobreira (Vilar) - Campo (Balselhas),3
7317,UT2,332,Circular | Paredes (via Hosp. Tâmega e Sousa),3
7318,UT2,484,Circular | Paredes (via Hosp. Tâmega e Sousa),3
7319,UT2,322,Baltar (Centro Escolar) - Recarei (Valvide) (via Cete),3
7320,UT2,331,Recarei/Sobreira (Estação) - Susão (Estação),3
7321,UT2,347,Lousada (Centro) - Susão (Estação) (via Hosp. Tâmega e Sousa),3
7322,UT2,344,Paredes (Centro) - Polo Universitário (pela A4),3
7323,UT2,330,Sobreira (Santa Comba) - Recarei/Sobreira (Estação),3
7324,UT2,326,Penafiel (Milhundos) - Polo Universitário (pela A4 Gandra),3
7325,UT2,321,Baltar (Centro Escolar) - Campo (Hosp. S. Martinho) (via Vilarinho de Baixo),3
7326,UT2,350,Paredes (Centro) - Baltar (Centro Escolar) (via Cete),3
7327,UT2,348,Baltar (Centro Escolar) - Sobrado de Baixo,3
7328,UT2,336,Baltar (Centro Escolar) - Guardão,3
7329,UT2,338,Baltar (Centro Escolar) - Vilarinho de Cima,3
7330,UT2,323,Guardão - Valongo (Estação) (via Sobrado),3
7331,UT2,341,Blatar (Centro Escolar) - Recarei/Sobreira (Estação),3
7332,UT2,339,Sobreira (Casconha) - Polo Universitário (pela A4),3
7333,UT2,351,Paços de Ferreira (Centro) - Susão (Estação) (via Lordelo),3
7334,UT2,410,Paços de Ferreira (Centro) - Vilela,3
7335,UT2,455,Cristelo (Escola) - Baltar (Centro Escolar) (via Moinhos),3
7336,UT2,503,Modelos - Polo Universitário (via Alto de Vila) (pela A4),3
8002,UT2,376,Canedo (Escola) - Areja,3
8003,UT2,361,Ervedosa - Beloi,3
8004,UT2,366,Gramido - Campanhã (Estação),3
8005,UT2,371,Valongo (Estação) - Gondomar (Souto),3
8006,UT2,359,Gens - Gondomar (Souto) (via S. Pedro da Cova),3
8007,UT2,368,Lomba - Hospital Fernando Pessoa (via Canedo),3
8008,UT2,375,Aguiar de Sousa - Gondomar (Souto),3
8009,UT2,363,Medas - Campanhã (Estação),3
8010,UT2,372,Jovim - Hospital Fernando Pessoa (via Vessada),3
8011,UT2,362,Sobreira (Santa Comba) - Hospital Fernando Pessoa,3
8012,UT2,378,Ervedosa - Hospital Fernando Pessoa,3
8013,UT2,357,Gondomar (Souto) - Estádio do Dragão,3
8014,UT2,380,Covelo - Gondomar (Souto),3
8015,UT2,364,Vilarinho - Hospital Fernando Pessoa,3
8016,UT2,377,Sarnada - Campanhã (Estação) (pela Marginal),3
8017,UT2,354,Fânzeres (Montezelo) - Campanhã (Estação) (via Centro de Saúde),3
8018,UT2,356,Broalhos - Foz do Sousa,3
8019,UT2,369,Gondomar (Souto) - Campanhã (Estação) (via EN209),3
8020,UT2,353,Baguim - Estádio do Dragão,3
8021,UT2,370,Jovim - Gondomar (Souto),3
8022,UT2,373,Hospital Fernando Pessoa - Hospital São João,3
8023,UT2,360,Seixo - Estádio do Dragão,3
8024,UT2,358,Broalhos - Gondomar (Souto),3
8025,UT2,381,Ermesinde (Estação) - Estádio do Dragão,3
8026,UT2,367,Porqueira - Hospital Fernando Pessoa,3
8027,UT2,355,Sebolido - Campanhã (Estação),3
8028,UT2,365,Circular | Campanhã (Estação) (pela Marginal),3
8029,UT2,379,Circular | Campanhã (Estação) (por Vila Verde),3
8030,UT2,374,Circular | Gondomar (Centro) (via Alto de Soutelo),3
8031,UT2,485,Circular | Gondomar (Centro) (via Alto de Soutelo),3
8032,UT2,383,Valongo (Centro) - Parque Nascente (via Rio Tinto),3
8033,UT2,444,Baguim - Areias,3
8034,UT2,445,S. Pedro da Cova - Parque Nascente,3
8035,UT2,446,Gondomar (Souto) - Hospital São João,3
8036,UT2,449,Circular | Gondomar (Souto) (via Valbom),3
8037,UT2,486,Circular | Gondomar (Souto) (via Valbom),3
8038,UT2,448,Circular | Gondomar (Souto) (via Foz do Sousa),3
8039,UT2,487,Circular | Gondomar (Souto) (via Foz do Sousa),3
8040,UT2,450,Forno (Escola da Boucinha) - Hospital São João (via Estação Rio Tinto),3
8041,UT2,504,Gondomar (Souto) - Campanhã (Estação) (via Vila Verde),3
3001,UT3,108,Paranho - Portas Fronhas (Metro) (via Travassos),3
3002,UT3,110,Agra - Portas Fronhas (Metro) (via Giesteira),3
3003,UT3,89,Balazar - Portas Fronhas (Metro) (via Guardães),3
3004,UT3,112,Balazar - Portas Fronhas (Metro) (via Águas Férreas),3
3005,UT3,84,Águas Férreas - Portas Fronhas (Metro) (via Barranha),3
3006,UT3,106,Esposende (CCT) - Portas Fronhas (Metro) (via Aguçadora),3
3301,UT3,92,Aguçadoura - Vila do Conde (Metro),3
3302,UT3,116,Amorim (Zona Industrial) - Areia / Varziela (Metro),3
3304,UT3,99,Circular | Póvoa de Varzim,3
3305,UT3,477,Circular | Póvoa de Varzim,3
3306,UT3,93,Circular | Vila do Conde,3
3307,UT3,478,Circular | Vila do Conde,3
3308,UT3,96,Póvoa de Varzim (CCT) - Vila do Conde (Centro),3
3309,UT3,494,Póvoa de Varzim (CCT) - Vila do Conde (Centro) (via Escolas),3
3501,UT3,77,Tougues - Vila do Conde (Centro) (via Retorta),3
3502,UT3,115,Tougues - Vila do Conde (Escolas) (via Azurara),3
3503,UT3,86,Póvoa de Varzim (CCT) - Polo Universitário,3
3504,UT3,111,Santo Tirso (ERF) - Póvoa de Varzim (CCT),3
3505,UT3,105,Famalicão (CCT) - Vila do Conde (Centro),3
3506,UT3,87,Vila do Conde (Centro) - Maia (Centro),3
3507,UT3,95,Famalicão (CCT) - Vila do Conde (Centro) (via Escolas),3
